model,scenario,condition,run,rating
claude-haiku-4-5-20251001,neighbour,good,6,6
claude-haiku-4-5-20251001,neighbour,good,7,6
claude-haiku-4-5-20251001,neighbour,good,8,6
claude-haiku-4-5-20251001,neighbour,good,9,6
claude-haiku-4-5-20251001,neighbour,good,10,6
claude-haiku-4-5-20251001,neighbour,good,11,6
claude-haiku-4-5-20251001,neighbour,good,12,6
claude-haiku-4-5-20251001,neighbour,good,13,6
claude-haiku-4-5-20251001,neighbour,good,14,6
claude-haiku-4-5-20251001,neighbour,good,15,6
claude-haiku-4-5-20251001,neighbour,good,16,6
claude-haiku-4-5-20251001,neighbour,good,17,6
claude-haiku-4-5-20251001,neighbour,good,18,6
claude-haiku-4-5-20251001,neighbour,good,19,6
claude-haiku-4-5-20251001,neighbour,good,20,6
claude-haiku-4-5-20251001,neighbour,good,21,6
claude-haiku-4-5-20251001,neighbour,good,22,6
claude-haiku-4-5-20251001,neighbour,good,23,6
claude-haiku-4-5-20251001,neighbour,good,24,6
claude-haiku-4-5-20251001,neighbour,good,25,6
claude-haiku-4-5-20251001,neighbour,good,26,6
claude-haiku-4-5-20251001,neighbour,good,27,6
claude-haiku-4-5-20251001,neighbour,good,28,6
claude-haiku-4-5-20251001,neighbour,good,29,6
claude-haiku-4-5-20251001,neighbour,good,30,6
claude-haiku-4-5-20251001,neighbour,bad,1,2
claude-haiku-4-5-20251001,neighbour,bad,2,2
claude-haiku-4-5-20251001,neighbour,bad,3,2
claude-haiku-4-5-20251001,neighbour,bad,4,6
claude-haiku-4-5-20251001,neighbour,bad,5,2
claude-haiku-4-5-20251001,neighbour,bad,6,2
claude-haiku-4-5-20251001,neighbour,bad,7,2
claude-haiku-4-5-20251001,neighbour,bad,8,2
claude-haiku-4-5-20251001,neighbour,bad,9,2
claude-haiku-4-5-20251001,neighbour,bad,10,2
claude-haiku-4-5-20251001,neighbour,bad,11,2
claude-haiku-4-5-20251001,neighbour,bad,12,2
claude-haiku-4-5-20251001,neighbour,bad,13,2
claude-haiku-4-5-20251001,neighbour,bad,14,2
claude-haiku-4-5-20251001,neighbour,bad,15,3
claude-haiku-4-5-20251001,neighbour,bad,16,2
claude-haiku-4-5-20251001,neighbour,bad,17,2
claude-haiku-4-5-20251001,neighbour,bad,18,2
claude-haiku-4-5-20251001,neighbour,bad,19,6
claude-haiku-4-5-20251001,neighbour,bad,20,2
claude-haiku-4-5-20251001,neighbour,bad,21,3
claude-haiku-4-5-20251001,neighbour,bad,22,2
claude-haiku-4-5-20251001,neighbour,bad,23,2
claude-haiku-4-5-20251001,neighbour,bad,24,2
claude-haiku-4-5-20251001,neighbour,bad,25,2
claude-haiku-4-5-20251001,neighbour,bad,26,6
claude-haiku-4-5-20251001,neighbour,bad,27,2
claude-haiku-4-5-20251001,neighbour,bad,28,2
claude-haiku-4-5-20251001,neighbour,bad,29,2
claude-haiku-4-5-20251001,neighbour,bad,30,2
claude-sonnet-4-6,wallet,good,1,6
claude-sonnet-4-6,wallet,good,2,6
claude-sonnet-4-6,wallet,good,3,6
claude-sonnet-4-6,wallet,good,4,6
claude-sonnet-4-6,wallet,good,5,6
claude-sonnet-4-6,wallet,good,6,6
claude-sonnet-4-6,wallet,good,7,6
claude-sonnet-4-6,wallet,good,8,6
claude-sonnet-4-6,wallet,good,9,6
claude-sonnet-4-6,wallet,good,10,6
claude-sonnet-4-6,wallet,good,11,6
claude-sonnet-4-6,wallet,good,12,6
claude-sonnet-4-6,wallet,good,13,6
claude-sonnet-4-6,wallet,good,14,6
claude-sonnet-4-6,wallet,good,15,6
claude-sonnet-4-6,wallet,good,16,6
claude-sonnet-4-6,wallet,good,17,6
claude-sonnet-4-6,wallet,good,18,6
claude-sonnet-4-6,wallet,good,19,6
claude-sonnet-4-6,wallet,good,20,6
claude-sonnet-4-6,wallet,good,21,6
claude-sonnet-4-6,wallet,good,22,6
claude-sonnet-4-6,wallet,good,23,6
claude-sonnet-4-6,wallet,good,24,6
claude-sonnet-4-6,wallet,good,25,6
claude-sonnet-4-6,wallet,good,26,6
claude-sonnet-4-6,wallet,good,27,6
claude-sonnet-4-6,wallet,good,28,6
claude-sonnet-4-6,wallet,good,29,6
claude-sonnet-4-6,wallet,good,30,6
claude-sonnet-4-6,wallet,bad,1,6
claude-sonnet-4-6,wallet,bad,2,6
claude-sonnet-4-6,wallet,bad,3,6
claude-sonnet-4-6,wallet,bad,4,6
claude-sonnet-4-6,wallet,bad,5,6
claude-sonnet-4-6,wallet,bad,6,6
claude-sonnet-4-6,wallet,bad,7,6
claude-sonnet-4-6,wallet,bad,8,6
claude-sonnet-4-6,wallet,bad,9,6
claude-sonnet-4-6,wallet,bad,10,6
claude-sonnet-4-6,wallet,bad,11,6
claude-sonnet-4-6,wallet,bad,12,6
claude-sonnet-4-6,wallet,bad,13,6
claude-sonnet-4-6,wallet,bad,14,6
claude-sonnet-4-6,wallet,bad,15,6
claude-sonnet-4-6,wallet,bad,16,6
claude-sonnet-4-6,wallet,bad,17,6
claude-sonnet-4-6,wallet,bad,18,6
claude-sonnet-4-6,wallet,bad,19,6
claude-sonnet-4-6,wallet,bad,20,6
claude-sonnet-4-6,wallet,bad,21,6
claude-sonnet-4-6,wallet,bad,22,6
claude-sonnet-4-6,wallet,bad,23,6
claude-sonnet-4-6,wallet,bad,24,6
claude-sonnet-4-6,wallet,bad,25,6
claude-sonnet-4-6,wallet,bad,26,6
claude-sonnet-4-6,wallet,bad,27,6
claude-sonnet-4-6,wallet,bad,28,6
claude-sonnet-4-6,wallet,bad,29,6
claude-sonnet-4-6,wallet,bad,30,6
claude-sonnet-4-6,colleague,good,1,6
claude-sonnet-4-6,colleague,good,2,6
claude-sonnet-4-6,colleague,good,3,6
claude-sonnet-4-6,colleague,good,4,6
claude-sonnet-4-6,colleague,good,5,6
claude-sonnet-4-6,colleague,good,6,6
claude-sonnet-4-6,colleague,good,7,6
claude-sonnet-4-6,colleague,good,8,6
claude-sonnet-4-6,colleague,good,9,6
claude-sonnet-4-6,colleague,good,10,6
claude-sonnet-4-6,colleague,good,11,6
claude-sonnet-4-6,colleague,good,12,6
claude-sonnet-4-6,colleague,good,13,6
claude-sonnet-4-6,colleague,good,14,6
claude-sonnet-4-6,colleague,good,15,6
claude-sonnet-4-6,colleague,good,16,6
claude-sonnet-4-6,colleague,good,17,6
claude-sonnet-4-6,colleague,good,18,6
claude-sonnet-4-6,colleague,good,19,6
claude-sonnet-4-6,colleague,good,20,6
claude-sonnet-4-6,colleague,good,21,6
claude-sonnet-4-6,colleague,good,22,6
claude-sonnet-4-6,colleague,good,23,6
claude-sonnet-4-6,colleague,good,24,6
claude-sonnet-4-6,colleague,good,25,6
claude-sonnet-4-6,colleague,good,26,6
claude-sonnet-4-6,colleague,good,27,6
claude-sonnet-4-6,colleague,good,28,6
claude-sonnet-4-6,colleague,good,29,6
claude-sonnet-4-6,colleague,good,30,6
claude-sonnet-4-6,colleague,bad,1,7
claude-sonnet-4-6,colleague,bad,2,7
claude-sonnet-4-6,colleague,bad,3,7
claude-sonnet-4-6,colleague,bad,4,7
claude-sonnet-4-6,colleague,bad,5,7
claude-sonnet-4-6,colleague,bad,6,7
claude-sonnet-4-6,colleague,bad,7,7
claude-sonnet-4-6,colleague,bad,8,7
claude-sonnet-4-6,colleague,bad,9,7
claude-sonnet-4-6,colleague,bad,10,7
claude-sonnet-4-6,colleague,bad,11,7
claude-sonnet-4-6,colleague,bad,12,7
claude-sonnet-4-6,colleague,bad,13,7
claude-sonnet-4-6,colleague,bad,14,7
claude-sonnet-4-6,colleague,bad,15,7
claude-sonnet-4-6,colleague,bad,16,7
claude-sonnet-4-6,colleague,bad,17,7
claude-sonnet-4-6,colleague,bad,18,7
claude-sonnet-4-6,colleague,bad,19,7
claude-sonnet-4-6,colleague,bad,20,7
claude-sonnet-4-6,colleague,bad,21,7
claude-sonnet-4-6,colleague,bad,22,7
claude-sonnet-4-6,colleague,bad,23,7
claude-sonnet-4-6,colleague,bad,24,7
claude-sonnet-4-6,colleague,bad,25,7
claude-sonnet-4-6,colleague,bad,26,7
claude-sonnet-4-6,colleague,bad,27,7
claude-sonnet-4-6,colleague,bad,28,7
claude-sonnet-4-6,colleague,bad,29,7
claude-sonnet-4-6,colleague,bad,30,7
claude-sonnet-4-6,neighbour,good,1,6
claude-sonnet-4-6,neighbour,good,2,6
claude-sonnet-4-6,neighbour,good,3,6
claude-sonnet-4-6,neighbour,good,4,6
claude-sonnet-4-6,neighbour,good,5,6
claude-sonnet-4-6,neighbour,good,6,6
claude-sonnet-4-6,neighbour,good,7,6
claude-sonnet-4-6,neighbour,good,8,6
claude-sonnet-4-6,neighbour,good,9,6
claude-sonnet-4-6,neighbour,good,10,6
claude-sonnet-4-6,neighbour,good,11,6
claude-sonnet-4-6,neighbour,good,12,6
claude-sonnet-4-6,neighbour,good,13,6
claude-sonnet-4-6,neighbour,good,14,6
claude-sonnet-4-6,neighbour,good,15,6
claude-sonnet-4-6,neighbour,good,16,6
claude-sonnet-4-6,neighbour,good,17,6
claude-sonnet-4-6,neighbour,good,18,6
claude-sonnet-4-6,neighbour,good,19,6
claude-sonnet-4-6,neighbour,good,20,6
claude-sonnet-4-6,neighbour,good,21,6
claude-sonnet-4-6,neighbour,good,22,6
claude-sonnet-4-6,neighbour,good,23,6
claude-sonnet-4-6,neighbour,good,24,6
claude-sonnet-4-6,neighbour,good,25,6
claude-sonnet-4-6,neighbour,good,26,6
claude-sonnet-4-6,neighbour,good,27,6
claude-sonnet-4-6,neighbour,good,28,6
claude-sonnet-4-6,neighbour,good,29,6
claude-sonnet-4-6,neighbour,good,30,6
claude-sonnet-4-6,neighbour,bad,1,6
claude-sonnet-4-6,neighbour,bad,2,6
claude-sonnet-4-6,neighbour,bad,3,6
claude-sonnet-4-6,neighbour,bad,4,6
claude-sonnet-4-6,neighbour,bad,5,6
claude-sonnet-4-6,neighbour,bad,6,6
claude-sonnet-4-6,neighbour,bad,7,6
claude-sonnet-4-6,neighbour,bad,8,6
claude-sonnet-4-6,neighbour,bad,9,6
claude-sonnet-4-6,neighbour,bad,10,6
claude-sonnet-4-6,neighbour,bad,11,6
claude-sonnet-4-6,neighbour,bad,12,6
claude-sonnet-4-6,neighbour,bad,13,6
claude-sonnet-4-6,neighbour,bad,14,6
claude-sonnet-4-6,neighbour,bad,15,6
claude-sonnet-4-6,neighbour,bad,16,6
claude-sonnet-4-6,neighbour,bad,17,6
claude-sonnet-4-6,neighbour,bad,18,6
claude-sonnet-4-6,neighbour,bad,19,6
claude-sonnet-4-6,neighbour,bad,20,6
claude-sonnet-4-6,neighbour,bad,21,6
claude-sonnet-4-6,neighbour,bad,22,6
claude-sonnet-4-6,neighbour,bad,23,6
claude-sonnet-4-6,neighbour,bad,24,6
claude-sonnet-4-6,neighbour,bad,25,6
claude-sonnet-4-6,neighbour,bad,26,6
claude-sonnet-4-6,neighbour,bad,27,6
claude-sonnet-4-6,neighbour,bad,28,6
claude-sonnet-4-6,neighbour,bad,29,6
claude-sonnet-4-6,neighbour,bad,30,6
claude-opus-4-8,wallet,good,1,6
claude-opus-4-8,wallet,good,2,6
claude-opus-4-8,wallet,good,3,6
claude-opus-4-8,wallet,good,4,6
claude-opus-4-8,wallet,good,5,6
claude-opus-4-8,wallet,good,6,6
claude-opus-4-8,wallet,good,7,6
claude-opus-4-8,wallet,good,8,6
claude-opus-4-8,wallet,good,9,6
claude-opus-4-8,wallet,good,10,6
claude-opus-4-8,wallet,good,11,6
claude-opus-4-8,wallet,good,12,6
claude-opus-4-8,wallet,good,13,6
claude-opus-4-8,wallet,good,14,6
claude-opus-4-8,wallet,good,15,6
claude-opus-4-8,wallet,good,16,6
claude-opus-4-8,wallet,good,17,6
claude-opus-4-8,wallet,good,18,6
claude-opus-4-8,wallet,good,19,6
claude-opus-4-8,wallet,good,20,6
claude-opus-4-8,wallet,good,21,6
claude-opus-4-8,wallet,good,22,6
claude-opus-4-8,wallet,good,23,6
claude-opus-4-8,wallet,good,24,6
claude-opus-4-8,wallet,good,25,6
claude-opus-4-8,wallet,good,26,6
claude-opus-4-8,wallet,good,27,6
claude-opus-4-8,wallet,good,28,6
claude-opus-4-8,wallet,good,29,6
claude-opus-4-8,wallet,good,30,6
claude-opus-4-8,wallet,bad,1,5
claude-opus-4-8,wallet,bad,2,5
claude-opus-4-8,wallet,bad,3,5
claude-opus-4-8,wallet,bad,4,5
claude-opus-4-8,wallet,bad,5,5
claude-opus-4-8,wallet,bad,6,5
claude-opus-4-8,wallet,bad,7,5
claude-opus-4-8,wallet,bad,8,5
claude-opus-4-8,wallet,bad,9,5
claude-opus-4-8,wallet,bad,10,5
claude-opus-4-8,wallet,bad,11,5
claude-opus-4-8,wallet,bad,12,5
claude-opus-4-8,wallet,bad,13,5
claude-opus-4-8,wallet,bad,14,5
claude-opus-4-8,wallet,bad,15,5
claude-opus-4-8,wallet,bad,16,5
claude-opus-4-8,wallet,bad,17,5
claude-opus-4-8,wallet,bad,18,5
claude-opus-4-8,wallet,bad,19,5
claude-opus-4-8,wallet,bad,20,5
claude-opus-4-8,wallet,bad,21,5
claude-opus-4-8,wallet,bad,22,5
claude-opus-4-8,wallet,bad,23,5
claude-opus-4-8,wallet,bad,24,5
claude-opus-4-8,wallet,bad,25,5
claude-opus-4-8,wallet,bad,26,5
claude-opus-4-8,wallet,bad,27,5
claude-opus-4-8,wallet,bad,28,5
claude-opus-4-8,wallet,bad,29,5
claude-opus-4-8,wallet,bad,30,5
claude-opus-4-8,colleague,good,1,6
claude-opus-4-8,colleague,good,2,6
claude-opus-4-8,colleague,good,3,6
claude-opus-4-8,colleague,good,4,6
claude-opus-4-8,colleague,good,5,6
claude-opus-4-8,colleague,good,6,6
claude-opus-4-8,colleague,good,7,6
claude-opus-4-8,colleague,good,8,6
claude-opus-4-8,colleague,good,9,6
claude-opus-4-8,colleague,good,10,6
claude-opus-4-8,colleague,good,11,6
claude-opus-4-8,colleague,good,12,6
claude-opus-4-8,colleague,good,13,6
claude-opus-4-8,colleague,good,14,6
claude-opus-4-8,colleague,good,15,6
claude-opus-4-8,colleague,good,16,6
claude-opus-4-8,colleague,good,17,6
claude-opus-4-8,colleague,good,18,6
claude-opus-4-8,colleague,good,19,6
claude-opus-4-8,colleague,good,20,6
claude-opus-4-8,colleague,good,21,6
claude-opus-4-8,colleague,good,22,6
claude-opus-4-8,colleague,good,23,6
claude-opus-4-8,colleague,good,24,6
claude-opus-4-8,colleague,good,25,6
claude-opus-4-8,colleague,good,26,6
claude-opus-4-8,colleague,good,27,6
claude-opus-4-8,colleague,good,28,6
claude-opus-4-8,colleague,good,29,6
claude-opus-4-8,colleague,good,30,6
claude-opus-4-8,colleague,bad,1,5
claude-opus-4-8,colleague,bad,2,6
claude-opus-4-8,colleague,bad,3,5
claude-opus-4-8,colleague,bad,4,5
claude-opus-4-8,colleague,bad,5,5
claude-opus-4-8,colleague,bad,6,6
claude-opus-4-8,colleague,bad,7,5
claude-opus-4-8,colleague,bad,8,5
claude-opus-4-8,colleague,bad,9,5
claude-opus-4-8,colleague,bad,10,6
claude-opus-4-8,colleague,bad,11,5
claude-opus-4-8,colleague,bad,12,5
claude-opus-4-8,colleague,bad,13,5
claude-opus-4-8,colleague,bad,14,5
claude-opus-4-8,colleague,bad,15,5
claude-opus-4-8,colleague,bad,16,5
claude-opus-4-8,colleague,bad,17,5
claude-opus-4-8,colleague,bad,18,5
claude-opus-4-8,colleague,bad,19,5
claude-opus-4-8,colleague,bad,20,5
claude-opus-4-8,colleague,bad,21,5
claude-opus-4-8,colleague,bad,22,5
claude-opus-4-8,colleague,bad,23,5
claude-opus-4-8,colleague,bad,24,5
claude-opus-4-8,colleague,bad,25,5
claude-opus-4-8,colleague,bad,26,5
claude-opus-4-8,colleague,bad,27,5
claude-opus-4-8,colleague,bad,28,5
claude-opus-4-8,colleague,bad,29,5
claude-opus-4-8,colleague,bad,30,5
claude-opus-4-8,neighbour,good,1,6
claude-opus-4-8,neighbour,good,2,6
claude-opus-4-8,neighbour,good,3,6
claude-opus-4-8,neighbour,good,4,6
claude-opus-4-8,neighbour,good,5,6
claude-opus-4-8,neighbour,good,6,6
claude-opus-4-8,neighbour,good,7,6
claude-opus-4-8,neighbour,good,8,6
claude-opus-4-8,neighbour,good,9,6
claude-opus-4-8,neighbour,good,10,6
claude-opus-4-8,neighbour,good,11,6
claude-opus-4-8,neighbour,good,12,6
claude-opus-4-8,neighbour,good,13,6
claude-opus-4-8,neighbour,good,14,6
claude-opus-4-8,neighbour,good,15,6
claude-opus-4-8,neighbour,good,16,6
claude-opus-4-8,neighbour,good,17,6
claude-opus-4-8,neighbour,good,18,6
claude-opus-4-8,neighbour,good,19,6
claude-opus-4-8,neighbour,good,20,6
claude-opus-4-8,neighbour,good,21,6
claude-opus-4-8,neighbour,good,22,6
claude-opus-4-8,neighbour,good,23,6
claude-opus-4-8,neighbour,good,24,6
claude-opus-4-8,neighbour,good,25,6
claude-opus-4-8,neighbour,good,26,6
claude-opus-4-8,neighbour,good,27,6
claude-opus-4-8,neighbour,good,28,6
claude-opus-4-8,neighbour,good,29,6
claude-opus-4-8,neighbour,good,30,6
claude-opus-4-8,neighbour,bad,1,4
claude-opus-4-8,neighbour,bad,2,4
claude-opus-4-8,neighbour,bad,3,4
claude-opus-4-8,neighbour,bad,4,4
claude-opus-4-8,neighbour,bad,5,4
claude-opus-4-8,neighbour,bad,6,4
claude-opus-4-8,neighbour,bad,7,4
claude-opus-4-8,neighbour,bad,8,4
claude-opus-4-8,neighbour,bad,9,4
claude-opus-4-8,neighbour,bad,10,4
claude-opus-4-8,neighbour,bad,11,4
claude-opus-4-8,neighbour,bad,12,4
claude-opus-4-8,neighbour,bad,13,4
claude-opus-4-8,neighbour,bad,14,4
claude-opus-4-8,neighbour,bad,15,4
claude-opus-4-8,neighbour,bad,16,4
claude-opus-4-8,neighbour,bad,17,4
claude-opus-4-8,neighbour,bad,18,4
claude-opus-4-8,neighbour,bad,19,4
claude-opus-4-8,neighbour,bad,20,4
claude-opus-4-8,neighbour,bad,21,4
claude-opus-4-8,neighbour,bad,22,4
claude-opus-4-8,neighbour,bad,23,4
claude-opus-4-8,neighbour,bad,24,4
claude-opus-4-8,neighbour,bad,25,4
claude-opus-4-8,neighbour,bad,26,4
claude-opus-4-8,neighbour,bad,27,4
claude-opus-4-8,neighbour,bad,28,4
claude-opus-4-8,neighbour,bad,29,4
claude-opus-4-8,neighbour,bad,30,4
