model,measure,condition,run,rating
claude-haiku-4-5-20251001,blame,harm,12,6
claude-haiku-4-5-20251001,blame,harm,13,7
claude-haiku-4-5-20251001,blame,harm,14,7
claude-haiku-4-5-20251001,blame,harm,15,6
claude-haiku-4-5-20251001,blame,harm,16,7
claude-haiku-4-5-20251001,blame,harm,17,6
claude-haiku-4-5-20251001,blame,harm,18,7
claude-haiku-4-5-20251001,blame,harm,19,7
claude-haiku-4-5-20251001,blame,harm,20,7
claude-haiku-4-5-20251001,blame,harm,21,7
claude-haiku-4-5-20251001,blame,harm,22,6
claude-haiku-4-5-20251001,blame,harm,23,6
claude-haiku-4-5-20251001,blame,harm,24,7
claude-haiku-4-5-20251001,blame,harm,25,7
claude-haiku-4-5-20251001,blame,harm,26,7
claude-haiku-4-5-20251001,blame,harm,27,6
claude-haiku-4-5-20251001,blame,harm,28,6
claude-haiku-4-5-20251001,blame,harm,29,7
claude-haiku-4-5-20251001,blame,harm,30,7
claude-haiku-4-5-20251001,praise,help,1,2
claude-haiku-4-5-20251001,praise,help,2,2
claude-haiku-4-5-20251001,praise,help,3,2
claude-haiku-4-5-20251001,praise,help,4,2
claude-haiku-4-5-20251001,praise,help,5,2
claude-haiku-4-5-20251001,praise,help,6,2
claude-haiku-4-5-20251001,praise,help,7,2
claude-haiku-4-5-20251001,praise,help,8,2
claude-haiku-4-5-20251001,praise,help,9,2
claude-haiku-4-5-20251001,praise,help,10,2
claude-haiku-4-5-20251001,praise,help,11,2
claude-haiku-4-5-20251001,praise,help,12,2
claude-haiku-4-5-20251001,praise,help,13,2
claude-haiku-4-5-20251001,praise,help,14,2
claude-haiku-4-5-20251001,praise,help,15,2
claude-haiku-4-5-20251001,praise,help,16,2
claude-haiku-4-5-20251001,praise,help,17,2
claude-haiku-4-5-20251001,praise,help,18,2
claude-haiku-4-5-20251001,praise,help,19,2
claude-haiku-4-5-20251001,praise,help,20,1
claude-haiku-4-5-20251001,praise,help,21,2
claude-haiku-4-5-20251001,praise,help,22,2
claude-haiku-4-5-20251001,praise,help,23,2
claude-haiku-4-5-20251001,praise,help,24,2
claude-haiku-4-5-20251001,praise,help,25,2
claude-haiku-4-5-20251001,praise,help,26,2
claude-haiku-4-5-20251001,praise,help,27,2
claude-haiku-4-5-20251001,praise,help,28,2
claude-haiku-4-5-20251001,praise,help,29,2
claude-haiku-4-5-20251001,praise,help,30,2
claude-haiku-4-5-20251001,responsibility,harm,1,7
claude-haiku-4-5-20251001,responsibility,harm,2,7
claude-haiku-4-5-20251001,responsibility,harm,3,7
claude-haiku-4-5-20251001,responsibility,harm,4,7
claude-haiku-4-5-20251001,responsibility,harm,5,7
claude-haiku-4-5-20251001,responsibility,harm,6,7
claude-haiku-4-5-20251001,responsibility,harm,7,7
claude-haiku-4-5-20251001,responsibility,harm,8,7
claude-haiku-4-5-20251001,responsibility,harm,9,7
claude-haiku-4-5-20251001,responsibility,harm,10,7
claude-haiku-4-5-20251001,responsibility,harm,11,7
claude-haiku-4-5-20251001,responsibility,harm,12,7
claude-haiku-4-5-20251001,responsibility,harm,13,7
claude-haiku-4-5-20251001,responsibility,harm,14,7
claude-haiku-4-5-20251001,responsibility,harm,15,7
claude-haiku-4-5-20251001,responsibility,harm,16,7
claude-haiku-4-5-20251001,responsibility,harm,17,7
claude-haiku-4-5-20251001,responsibility,harm,18,7
claude-haiku-4-5-20251001,responsibility,harm,19,7
claude-haiku-4-5-20251001,responsibility,harm,20,7
claude-haiku-4-5-20251001,responsibility,harm,21,7
claude-haiku-4-5-20251001,responsibility,harm,22,7
claude-haiku-4-5-20251001,responsibility,harm,23,7
claude-haiku-4-5-20251001,responsibility,harm,24,7
claude-haiku-4-5-20251001,responsibility,harm,25,6
claude-haiku-4-5-20251001,responsibility,harm,26,7
claude-haiku-4-5-20251001,responsibility,harm,27,7
claude-haiku-4-5-20251001,responsibility,harm,28,7
claude-haiku-4-5-20251001,responsibility,harm,29,7
claude-haiku-4-5-20251001,responsibility,harm,30,7
claude-haiku-4-5-20251001,responsibility,help,1,3
claude-haiku-4-5-20251001,responsibility,help,2,3
claude-haiku-4-5-20251001,responsibility,help,3,3
claude-haiku-4-5-20251001,responsibility,help,4,4
claude-haiku-4-5-20251001,responsibility,help,5,3
claude-haiku-4-5-20251001,responsibility,help,6,3
claude-haiku-4-5-20251001,responsibility,help,7,3
claude-haiku-4-5-20251001,responsibility,help,8,3
claude-haiku-4-5-20251001,responsibility,help,9,3
claude-haiku-4-5-20251001,responsibility,help,10,3
claude-haiku-4-5-20251001,responsibility,help,11,3
claude-haiku-4-5-20251001,responsibility,help,12,3
claude-haiku-4-5-20251001,responsibility,help,13,3
claude-haiku-4-5-20251001,responsibility,help,14,3
claude-haiku-4-5-20251001,responsibility,help,15,3
claude-haiku-4-5-20251001,responsibility,help,16,2
claude-haiku-4-5-20251001,responsibility,help,17,3
claude-haiku-4-5-20251001,responsibility,help,18,3
claude-haiku-4-5-20251001,responsibility,help,19,3
claude-haiku-4-5-20251001,responsibility,help,20,3
claude-haiku-4-5-20251001,responsibility,help,21,3
claude-haiku-4-5-20251001,responsibility,help,22,3
claude-haiku-4-5-20251001,responsibility,help,23,3
claude-haiku-4-5-20251001,responsibility,help,24,4
claude-haiku-4-5-20251001,responsibility,help,25,3
claude-haiku-4-5-20251001,responsibility,help,26,3
claude-haiku-4-5-20251001,responsibility,help,27,4
claude-haiku-4-5-20251001,responsibility,help,28,3
claude-haiku-4-5-20251001,responsibility,help,29,3
claude-haiku-4-5-20251001,responsibility,help,30,3
claude-haiku-4-5-20251001,causation,harm,1,7
claude-haiku-4-5-20251001,causation,harm,2,6
claude-haiku-4-5-20251001,causation,harm,3,7
claude-haiku-4-5-20251001,causation,harm,4,6
claude-haiku-4-5-20251001,causation,harm,5,6
claude-haiku-4-5-20251001,causation,harm,6,7
claude-haiku-4-5-20251001,causation,harm,7,7
claude-haiku-4-5-20251001,causation,harm,8,6
claude-haiku-4-5-20251001,causation,harm,9,6
claude-haiku-4-5-20251001,causation,harm,10,6
claude-haiku-4-5-20251001,causation,harm,11,7
claude-haiku-4-5-20251001,causation,harm,12,6
claude-haiku-4-5-20251001,causation,harm,13,7
claude-haiku-4-5-20251001,causation,harm,14,7
claude-haiku-4-5-20251001,causation,harm,15,7
claude-haiku-4-5-20251001,causation,harm,16,7
claude-haiku-4-5-20251001,causation,harm,17,7
claude-haiku-4-5-20251001,causation,harm,18,7
claude-haiku-4-5-20251001,causation,harm,19,7
claude-haiku-4-5-20251001,causation,harm,20,6
claude-haiku-4-5-20251001,causation,harm,21,7
claude-haiku-4-5-20251001,causation,harm,22,7
claude-haiku-4-5-20251001,causation,harm,23,7
claude-haiku-4-5-20251001,causation,harm,24,6
claude-haiku-4-5-20251001,causation,harm,25,7
claude-haiku-4-5-20251001,causation,harm,26,7
claude-haiku-4-5-20251001,causation,harm,27,7
claude-haiku-4-5-20251001,causation,harm,28,7
claude-haiku-4-5-20251001,causation,harm,29,7
claude-haiku-4-5-20251001,causation,harm,30,7
claude-haiku-4-5-20251001,causation,help,1,3
claude-haiku-4-5-20251001,causation,help,2,3
claude-haiku-4-5-20251001,causation,help,3,3
claude-haiku-4-5-20251001,causation,help,4,3
claude-haiku-4-5-20251001,causation,help,5,2
claude-haiku-4-5-20251001,causation,help,6,2
claude-haiku-4-5-20251001,causation,help,7,3
claude-haiku-4-5-20251001,causation,help,8,2
claude-haiku-4-5-20251001,causation,help,9,3
claude-haiku-4-5-20251001,causation,help,10,3
claude-haiku-4-5-20251001,causation,help,11,2
claude-haiku-4-5-20251001,causation,help,12,3
claude-haiku-4-5-20251001,causation,help,13,3
claude-haiku-4-5-20251001,causation,help,14,3
claude-haiku-4-5-20251001,causation,help,15,3
claude-haiku-4-5-20251001,causation,help,16,4
claude-haiku-4-5-20251001,causation,help,17,2
claude-haiku-4-5-20251001,causation,help,18,3
claude-haiku-4-5-20251001,causation,help,19,3
claude-haiku-4-5-20251001,causation,help,20,3
claude-haiku-4-5-20251001,causation,help,21,3
claude-haiku-4-5-20251001,causation,help,22,3
claude-haiku-4-5-20251001,causation,help,23,3
claude-haiku-4-5-20251001,causation,help,24,2
claude-haiku-4-5-20251001,causation,help,25,2
claude-haiku-4-5-20251001,causation,help,26,4
claude-haiku-4-5-20251001,causation,help,27,2
claude-haiku-4-5-20251001,causation,help,28,3
claude-haiku-4-5-20251001,causation,help,29,3
claude-haiku-4-5-20251001,causation,help,30,3
claude-sonnet-4-6,intentionality,harm,1,7
claude-sonnet-4-6,intentionality,harm,2,7
claude-sonnet-4-6,intentionality,harm,3,7
claude-sonnet-4-6,intentionality,harm,4,7
claude-sonnet-4-6,intentionality,harm,5,7
claude-sonnet-4-6,intentionality,harm,6,7
claude-sonnet-4-6,intentionality,harm,7,7
claude-sonnet-4-6,intentionality,harm,8,7
claude-sonnet-4-6,intentionality,harm,9,7
claude-sonnet-4-6,intentionality,harm,10,7
claude-sonnet-4-6,intentionality,harm,11,7
claude-sonnet-4-6,intentionality,harm,12,7
claude-sonnet-4-6,intentionality,harm,13,7
claude-sonnet-4-6,intentionality,harm,14,7
claude-sonnet-4-6,intentionality,harm,15,7
claude-sonnet-4-6,intentionality,harm,16,7
claude-sonnet-4-6,intentionality,harm,17,7
claude-sonnet-4-6,intentionality,harm,18,7
claude-sonnet-4-6,intentionality,harm,19,7
claude-sonnet-4-6,intentionality,harm,20,7
claude-sonnet-4-6,intentionality,harm,21,7
claude-sonnet-4-6,intentionality,harm,22,7
claude-sonnet-4-6,intentionality,harm,23,7
claude-sonnet-4-6,intentionality,harm,24,7
claude-sonnet-4-6,intentionality,harm,25,7
claude-sonnet-4-6,intentionality,harm,26,7
claude-sonnet-4-6,intentionality,harm,27,7
claude-sonnet-4-6,intentionality,harm,28,7
claude-sonnet-4-6,intentionality,harm,29,7
claude-sonnet-4-6,intentionality,harm,30,7
claude-sonnet-4-6,intentionality,help,1,2
claude-sonnet-4-6,intentionality,help,2,2
claude-sonnet-4-6,intentionality,help,3,1
claude-sonnet-4-6,intentionality,help,4,1
claude-sonnet-4-6,intentionality,help,5,1
claude-sonnet-4-6,intentionality,help,6,1
claude-sonnet-4-6,intentionality,help,7,2
claude-sonnet-4-6,intentionality,help,8,1
claude-sonnet-4-6,intentionality,help,9,1
claude-sonnet-4-6,intentionality,help,10,1
claude-sonnet-4-6,intentionality,help,11,2
claude-sonnet-4-6,intentionality,help,12,2
claude-sonnet-4-6,intentionality,help,13,1
claude-sonnet-4-6,intentionality,help,14,2
claude-sonnet-4-6,intentionality,help,15,2
claude-sonnet-4-6,intentionality,help,16,1
claude-sonnet-4-6,intentionality,help,17,1
claude-sonnet-4-6,intentionality,help,18,2
claude-sonnet-4-6,intentionality,help,19,2
claude-sonnet-4-6,intentionality,help,20,2
claude-sonnet-4-6,intentionality,help,21,2
claude-sonnet-4-6,intentionality,help,22,1
claude-sonnet-4-6,intentionality,help,23,2
claude-sonnet-4-6,intentionality,help,24,2
claude-sonnet-4-6,intentionality,help,25,1
claude-sonnet-4-6,intentionality,help,26,1
claude-sonnet-4-6,intentionality,help,27,1
claude-sonnet-4-6,intentionality,help,28,1
claude-sonnet-4-6,intentionality,help,29,1
claude-sonnet-4-6,intentionality,help,30,1
claude-sonnet-4-6,blame,harm,1,7
claude-sonnet-4-6,blame,harm,2,7
claude-sonnet-4-6,blame,harm,3,7
claude-sonnet-4-6,blame,harm,4,7
claude-sonnet-4-6,blame,harm,5,7
claude-sonnet-4-6,blame,harm,6,7
claude-sonnet-4-6,blame,harm,7,7
claude-sonnet-4-6,blame,harm,8,7
claude-sonnet-4-6,blame,harm,9,7
claude-sonnet-4-6,blame,harm,10,7
claude-sonnet-4-6,blame,harm,11,7
claude-sonnet-4-6,blame,harm,12,7
claude-sonnet-4-6,blame,harm,13,7
claude-sonnet-4-6,blame,harm,14,7
claude-sonnet-4-6,blame,harm,15,7
claude-sonnet-4-6,blame,harm,16,7
claude-sonnet-4-6,blame,harm,17,7
claude-sonnet-4-6,blame,harm,18,7
claude-sonnet-4-6,blame,harm,19,7
claude-sonnet-4-6,blame,harm,20,7
claude-sonnet-4-6,blame,harm,21,7
claude-sonnet-4-6,blame,harm,22,7
claude-sonnet-4-6,blame,harm,23,7
claude-sonnet-4-6,blame,harm,24,7
claude-sonnet-4-6,blame,harm,25,7
claude-sonnet-4-6,blame,harm,26,7
claude-sonnet-4-6,blame,harm,27,7
claude-sonnet-4-6,blame,harm,28,7
claude-sonnet-4-6,blame,harm,29,7
claude-sonnet-4-6,blame,harm,30,7
claude-sonnet-4-6,praise,help,1,1
claude-sonnet-4-6,praise,help,2,1
claude-sonnet-4-6,praise,help,3,1
claude-sonnet-4-6,praise,help,4,1
claude-sonnet-4-6,praise,help,5,1
claude-sonnet-4-6,praise,help,6,1
claude-sonnet-4-6,praise,help,7,1
claude-sonnet-4-6,praise,help,8,1
claude-sonnet-4-6,praise,help,9,1
claude-sonnet-4-6,praise,help,10,1
claude-sonnet-4-6,praise,help,11,1
claude-sonnet-4-6,praise,help,12,1
claude-sonnet-4-6,praise,help,13,1
claude-sonnet-4-6,praise,help,14,1
claude-sonnet-4-6,praise,help,15,1
claude-sonnet-4-6,praise,help,16,1
claude-sonnet-4-6,praise,help,17,1
claude-sonnet-4-6,praise,help,18,1
claude-sonnet-4-6,praise,help,19,1
claude-sonnet-4-6,praise,help,20,1
claude-sonnet-4-6,praise,help,21,1
claude-sonnet-4-6,praise,help,22,1
claude-sonnet-4-6,praise,help,23,1
claude-sonnet-4-6,praise,help,24,1
claude-sonnet-4-6,praise,help,25,1
claude-sonnet-4-6,praise,help,26,1
claude-sonnet-4-6,praise,help,27,1
claude-sonnet-4-6,praise,help,28,1
claude-sonnet-4-6,praise,help,29,1
claude-sonnet-4-6,praise,help,30,1
claude-sonnet-4-6,responsibility,harm,1,7
claude-sonnet-4-6,responsibility,harm,2,7
claude-sonnet-4-6,responsibility,harm,3,7
claude-sonnet-4-6,responsibility,harm,4,7
claude-sonnet-4-6,responsibility,harm,5,7
claude-sonnet-4-6,responsibility,harm,6,7
claude-sonnet-4-6,responsibility,harm,7,7
claude-sonnet-4-6,responsibility,harm,8,7
claude-sonnet-4-6,responsibility,harm,9,7
claude-sonnet-4-6,responsibility,harm,10,7
claude-sonnet-4-6,responsibility,harm,11,7
claude-sonnet-4-6,responsibility,harm,12,7
claude-sonnet-4-6,responsibility,harm,13,7
claude-sonnet-4-6,responsibility,harm,14,7
claude-sonnet-4-6,responsibility,harm,15,7
claude-sonnet-4-6,responsibility,harm,16,7
claude-sonnet-4-6,responsibility,harm,17,7
claude-sonnet-4-6,responsibility,harm,18,7
claude-sonnet-4-6,responsibility,harm,19,7
claude-sonnet-4-6,responsibility,harm,20,7
claude-sonnet-4-6,responsibility,harm,21,7
claude-sonnet-4-6,responsibility,harm,22,7
claude-sonnet-4-6,responsibility,harm,23,7
claude-sonnet-4-6,responsibility,harm,24,7
claude-sonnet-4-6,responsibility,harm,25,7
claude-sonnet-4-6,responsibility,harm,26,7
claude-sonnet-4-6,responsibility,harm,27,7
claude-sonnet-4-6,responsibility,harm,28,7
claude-sonnet-4-6,responsibility,harm,29,7
claude-sonnet-4-6,responsibility,harm,30,7
claude-sonnet-4-6,responsibility,help,1,2
claude-sonnet-4-6,responsibility,help,2,2
claude-sonnet-4-6,responsibility,help,3,2
claude-sonnet-4-6,responsibility,help,4,2
claude-sonnet-4-6,responsibility,help,5,2
claude-sonnet-4-6,responsibility,help,6,2
claude-sonnet-4-6,responsibility,help,7,2
claude-sonnet-4-6,responsibility,help,8,2
claude-sonnet-4-6,responsibility,help,9,2
claude-sonnet-4-6,responsibility,help,10,2
claude-sonnet-4-6,responsibility,help,11,2
claude-sonnet-4-6,responsibility,help,12,2
claude-sonnet-4-6,responsibility,help,13,2
claude-sonnet-4-6,responsibility,help,14,2
claude-sonnet-4-6,responsibility,help,15,2
claude-sonnet-4-6,responsibility,help,16,2
claude-sonnet-4-6,responsibility,help,17,2
claude-sonnet-4-6,responsibility,help,18,2
claude-sonnet-4-6,responsibility,help,19,2
claude-sonnet-4-6,responsibility,help,20,2
claude-sonnet-4-6,responsibility,help,21,2
claude-sonnet-4-6,responsibility,help,22,2
claude-sonnet-4-6,responsibility,help,23,2
claude-sonnet-4-6,responsibility,help,24,2
claude-sonnet-4-6,responsibility,help,25,2
claude-sonnet-4-6,responsibility,help,26,2
claude-sonnet-4-6,responsibility,help,27,2
claude-sonnet-4-6,responsibility,help,28,2
claude-sonnet-4-6,responsibility,help,29,2
claude-sonnet-4-6,responsibility,help,30,2
claude-sonnet-4-6,causation,harm,1,7
claude-sonnet-4-6,causation,harm,2,7
claude-sonnet-4-6,causation,harm,3,7
claude-sonnet-4-6,causation,harm,4,7
claude-sonnet-4-6,causation,harm,5,7
claude-sonnet-4-6,causation,harm,6,7
claude-sonnet-4-6,causation,harm,7,7
claude-sonnet-4-6,causation,harm,8,7
claude-sonnet-4-6,causation,harm,9,7
claude-sonnet-4-6,causation,harm,10,7
claude-sonnet-4-6,causation,harm,11,7
claude-sonnet-4-6,causation,harm,12,7
claude-sonnet-4-6,causation,harm,13,7
claude-sonnet-4-6,causation,harm,14,7
claude-sonnet-4-6,causation,harm,15,7
claude-sonnet-4-6,causation,harm,16,7
claude-sonnet-4-6,causation,harm,17,7
claude-sonnet-4-6,causation,harm,18,7
claude-sonnet-4-6,causation,harm,19,7
claude-sonnet-4-6,causation,harm,20,7
claude-sonnet-4-6,causation,harm,21,7
claude-sonnet-4-6,causation,harm,22,7
claude-sonnet-4-6,causation,harm,23,7
claude-sonnet-4-6,causation,harm,24,7
claude-sonnet-4-6,causation,harm,25,7
claude-sonnet-4-6,causation,harm,26,7
claude-sonnet-4-6,causation,harm,27,7
claude-sonnet-4-6,causation,harm,28,7
claude-sonnet-4-6,causation,harm,29,7
claude-sonnet-4-6,causation,harm,30,7
claude-sonnet-4-6,causation,help,1,4
claude-sonnet-4-6,causation,help,2,5
claude-sonnet-4-6,causation,help,3,3
claude-sonnet-4-6,causation,help,4,3
claude-sonnet-4-6,causation,help,5,3
claude-sonnet-4-6,causation,help,6,4
claude-sonnet-4-6,causation,help,7,5
claude-sonnet-4-6,causation,help,8,4
claude-sonnet-4-6,causation,help,9,3
claude-sonnet-4-6,causation,help,10,5
claude-sonnet-4-6,causation,help,11,4
claude-sonnet-4-6,causation,help,12,3
claude-sonnet-4-6,causation,help,13,3
claude-sonnet-4-6,causation,help,14,3
claude-sonnet-4-6,causation,help,15,4
claude-sonnet-4-6,causation,help,16,3
claude-sonnet-4-6,causation,help,17,4
claude-sonnet-4-6,causation,help,18,4
claude-sonnet-4-6,causation,help,19,3
claude-sonnet-4-6,causation,help,20,4
claude-sonnet-4-6,causation,help,21,4
claude-sonnet-4-6,causation,help,22,5
claude-sonnet-4-6,causation,help,23,3
claude-sonnet-4-6,causation,help,24,4
claude-sonnet-4-6,causation,help,25,4
claude-sonnet-4-6,causation,help,26,4
claude-sonnet-4-6,causation,help,27,4
claude-sonnet-4-6,causation,help,28,4
claude-sonnet-4-6,causation,help,29,4
claude-sonnet-4-6,causation,help,30,4
claude-opus-4-8,intentionality,harm,1,7
claude-opus-4-8,intentionality,harm,2,6
claude-opus-4-8,intentionality,harm,3,7
claude-opus-4-8,intentionality,harm,4,6
claude-opus-4-8,intentionality,harm,5,6
claude-opus-4-8,intentionality,harm,6,6
claude-opus-4-8,intentionality,harm,7,7
claude-opus-4-8,intentionality,harm,8,6
claude-opus-4-8,intentionality,harm,9,6
claude-opus-4-8,intentionality,harm,10,6
claude-opus-4-8,intentionality,harm,11,7
claude-opus-4-8,intentionality,harm,12,7
claude-opus-4-8,intentionality,harm,13,6
claude-opus-4-8,intentionality,harm,14,6
claude-opus-4-8,intentionality,harm,15,6
claude-opus-4-8,intentionality,harm,16,6
claude-opus-4-8,intentionality,harm,17,6
claude-opus-4-8,intentionality,harm,18,6
claude-opus-4-8,intentionality,harm,19,7
claude-opus-4-8,intentionality,harm,20,6
claude-opus-4-8,intentionality,harm,21,6
claude-opus-4-8,intentionality,harm,22,6
claude-opus-4-8,intentionality,harm,23,7
claude-opus-4-8,intentionality,harm,24,6
claude-opus-4-8,intentionality,harm,25,6
claude-opus-4-8,intentionality,harm,26,6
claude-opus-4-8,intentionality,harm,27,7
claude-opus-4-8,intentionality,harm,28,6
claude-opus-4-8,intentionality,harm,29,7
claude-opus-4-8,intentionality,harm,30,6
claude-opus-4-8,intentionality,help,1,3
claude-opus-4-8,intentionality,help,2,3
claude-opus-4-8,intentionality,help,3,3
claude-opus-4-8,intentionality,help,4,2
claude-opus-4-8,intentionality,help,5,2
claude-opus-4-8,intentionality,help,6,2
claude-opus-4-8,intentionality,help,7,2
claude-opus-4-8,intentionality,help,8,2
claude-opus-4-8,intentionality,help,9,2
claude-opus-4-8,intentionality,help,10,2
claude-opus-4-8,intentionality,help,11,2
claude-opus-4-8,intentionality,help,12,2
claude-opus-4-8,intentionality,help,13,3
claude-opus-4-8,intentionality,help,14,3
claude-opus-4-8,intentionality,help,15,3
claude-opus-4-8,intentionality,help,16,3
claude-opus-4-8,intentionality,help,17,2
claude-opus-4-8,intentionality,help,18,2
claude-opus-4-8,intentionality,help,19,3
claude-opus-4-8,intentionality,help,20,2
claude-opus-4-8,intentionality,help,21,2
claude-opus-4-8,intentionality,help,22,2
claude-opus-4-8,intentionality,help,23,2
claude-opus-4-8,intentionality,help,24,2
claude-opus-4-8,intentionality,help,25,2
claude-opus-4-8,intentionality,help,26,2
claude-opus-4-8,intentionality,help,27,2
claude-opus-4-8,intentionality,help,28,2
claude-opus-4-8,intentionality,help,29,2
claude-opus-4-8,intentionality,help,30,2
claude-opus-4-8,blame,harm,1,7
claude-opus-4-8,blame,harm,2,6
claude-opus-4-8,blame,harm,3,6
claude-opus-4-8,blame,harm,4,6
claude-opus-4-8,blame,harm,5,7
claude-opus-4-8,blame,harm,6,7
claude-opus-4-8,blame,harm,7,6
claude-opus-4-8,blame,harm,8,6
claude-opus-4-8,blame,harm,9,6
claude-opus-4-8,blame,harm,10,6
claude-opus-4-8,blame,harm,11,6
claude-opus-4-8,blame,harm,12,6
claude-opus-4-8,blame,harm,13,6
claude-opus-4-8,blame,harm,14,7
claude-opus-4-8,blame,harm,15,6
claude-opus-4-8,blame,harm,16,6
claude-opus-4-8,blame,harm,17,6
claude-opus-4-8,blame,harm,18,6
claude-opus-4-8,blame,harm,19,6
claude-opus-4-8,blame,harm,20,7
claude-opus-4-8,blame,harm,21,7
claude-opus-4-8,blame,harm,22,7
claude-opus-4-8,blame,harm,23,6
claude-opus-4-8,blame,harm,24,6
claude-opus-4-8,blame,harm,25,6
claude-opus-4-8,blame,harm,26,6
claude-opus-4-8,blame,harm,27,6
claude-opus-4-8,blame,harm,28,6
claude-opus-4-8,blame,harm,29,6
claude-opus-4-8,blame,harm,30,6
claude-opus-4-8,praise,help,1,2
claude-opus-4-8,praise,help,2,2
claude-opus-4-8,praise,help,3,2
claude-opus-4-8,praise,help,4,2
claude-opus-4-8,praise,help,5,2
claude-opus-4-8,praise,help,6,2
claude-opus-4-8,praise,help,7,2
claude-opus-4-8,praise,help,8,2
claude-opus-4-8,praise,help,9,2
claude-opus-4-8,praise,help,10,2
claude-opus-4-8,praise,help,11,2
claude-opus-4-8,praise,help,12,2
claude-opus-4-8,praise,help,13,2
claude-opus-4-8,praise,help,14,2
claude-opus-4-8,praise,help,15,2
claude-opus-4-8,praise,help,16,2
claude-opus-4-8,praise,help,17,2
claude-opus-4-8,praise,help,18,2
claude-opus-4-8,praise,help,19,2
claude-opus-4-8,praise,help,20,2
claude-opus-4-8,praise,help,21,2
claude-opus-4-8,praise,help,22,2
claude-opus-4-8,praise,help,23,2
claude-opus-4-8,praise,help,24,2
claude-opus-4-8,praise,help,25,2
claude-opus-4-8,praise,help,26,2
claude-opus-4-8,praise,help,27,2
claude-opus-4-8,praise,help,28,2
claude-opus-4-8,praise,help,29,2
