model,scenario,framing,run,rating
claude-opus-4-8,neighbour,bad_ooc,5,2
claude-opus-4-8,neighbour,bad_ooc,6,2
claude-opus-4-8,neighbour,bad_ooc,7,2
claude-opus-4-8,neighbour,bad_ooc,8,2
claude-opus-4-8,neighbour,bad_ooc,9,2
claude-opus-4-8,neighbour,bad_ooc,10,2
claude-opus-4-8,neighbour,bad_ooc,11,2
claude-opus-4-8,neighbour,bad_ooc,12,2
claude-opus-4-8,neighbour,bad_ooc,13,2
claude-opus-4-8,neighbour,bad_ooc,14,2
claude-opus-4-8,neighbour,bad_ooc,15,2
claude-opus-4-8,neighbour,bad_ooc,16,2
claude-opus-4-8,neighbour,bad_ooc,17,2
claude-opus-4-8,neighbour,bad_ooc,18,2
claude-opus-4-8,neighbour,bad_ooc,19,2
claude-opus-4-8,neighbour,bad_ooc,20,2
